gallery,major,minor,featureid,url,,,,,,,
100,21064,33511,41803,http://philamuseum.org/images/cad/mediaDecks/1927-52-9-ov.jpg,,,,,,,
101,2929,1942,72062,http://philamuseum.org/images/cad/mediaDecks/1977-88-1-CX.jpg,,,,,,,
103,37692,17861,147450,http://philamuseum.org/images/cad/mediaDecks/1986-107-2-ov.jpg,,,,,,,
105,6041,39427,72069,ttp://philamuseum.org/images/cad/mediaDecks/1978-100-1v1-ov.jpg,,,,,,,
106,52037,1060,296189,http://philamuseum.org/images/cad/mediaDecks/2006-4-85-neh.jpg,,,,,,,
108,15557,41054,50199,http://philamuseum.org/images/cad/mediaDecks/1946-73-2-pma2016.jpg,,,,,,,
109,32060,40815,125426,"ttp://philamuseum.org/images/cad/mediaDecks/1892-72a,b-neh.jpg",,,,,,,
110,16584,8665,44060,http://philamuseum.org/images/cad/mediaDecks/1930-1-40v3-pma2016.jpg,,,,,,,
114,25973,59463,97857,"http://philamuseum.org/images/cad/mediaDecks/2000-53-2a,b-neh.jpg",,,,,,,
115,46543,63836,38103,http://philamuseum.org/images/cad/mediaDecks/1896-64-ov.jpg,,,,,,,
117,33125,65341,89158,http://philamuseum.org/images/cad/mediaDecks/1994-5-3-pma.jpg,,,,,,,
121,8883,8960,269015,http://philamuseum.org/images/cad/mediaDecks/1972-237-14-pma2016.jpg,,,,,,,
122,55530,55907,-1,-1,,,,,,,
123,37400,9241,-1,-1,,,,,,,
124,41071,32565,-1,-1,,,,,,,
150,41936,18797,102626,http://philamuseum.org/images/cad/mediaDecks/Cat804-ov.jpg,,,,,,,
151,41673,56954,102789,http://philamuseum.org/images/cad/mediaDecks/Cat949.jpg,,,,,,,
154,43705,59459,-1,-1,,,,,,,
156,22686,4529,-1,-1,,,,,,,
158,19706,7578,101765,http://philamuseum.org/images/cad/mediaDecks/Cat1081-ov.jpg,,,,,,,
159,28148,31688,65767,http://philamuseum.org/images/cad/mediaDecks/1969-80-1v1-ov.jpg,,,,,,,
160,36761,6129,89027,"http://philamuseum.org/images/cad/mediaDecks/1994-2-1a,b.jpg",,,,,,,
163,5411,12260,59605,http://philamuseum.org/images/cad/mediaDecks/1963-181-76-CX.jpg,,,,,,,
166,30283,22351,51349,http://philamuseum.org/images/cad/mediaDecks/1950-134-43acrop-CX.jpg,,,,,,,
167,401,5349,51023,http://philamuseum.org/images/cad/mediaDecks/1950-134-109-CX.jpg,,,,,,,
168,57211,3214,51017,http://philamuseum.org/images/cad/mediaDecks/1950-134-102.jpg,,,,,,,
170,7806,36074,-1,-1,,,,,,,
171,42675,45688,-1,-1,,,,,,,
173,20381,10152,-1,-1,,,,,,,
175,23397,59380,-1,-1,,,,,,,
177,26246,39764,-1,-1,,,,,,,
178,16005,28774,-1,-1,,,,,,,
179,62041,10472,-1,-1,,,,,,,
183,28257,25091,-1,-1,,,,,,,
184,61613,8979,-1,-1,,,,,,,
186,36427,50690,-1,-1,,,,,,,
187,16934,49722,53916,http://philamuseum.org/images/cad/mediaDecks/1952-61-41-pma.jpg,,,,,,,
202,58688,10931,162044,http://philamuseum.org/images/cad/mediaDecks/1930-24-2.jpg,,,,,,,
203,17245,22491,60692,http://philamuseum.org/images/cad/mediaDecks/1965-216-2v4-ov.jpg,,,,,,,
205,34379,55261,103620,http://philamuseum.org/images/cad/mediaDecks/Inv203after-cons.jpg,,,,,,,
207,485,45103,42466,http://philamuseum.org/images/cad/mediaDecks/1929-180-3-ov.jpg,,,,,,,
208,4110,32956,70356,http://philamuseum.org/images/cad/mediaDecks/1975-67-2-ov.jpg,,,,,,,
209,59249,18705,149036,http://philamuseum.org/images/cad/mediaDecks/Inv1133-ov.jpg,,,,,,,
210,60798,33306,102744,"http://philamuseum.org/images/cad/mediaDecks/Cat91,EW1985-21-1,2-pma.jpg",,,,,,,
211,60085,38310,162212,http://philamuseum.org/images/cad/mediaDecks/1945-25-69m-ov.jpg,,,,,,,
212,1963,54246,101763,http://philamuseum.org/images/cad/mediaDecks/Cat108.jpg,,,,,,,
213,19962,34996,104378,ttp://philamuseum.org/images/cad/mediaDecks/W1896-1-11a-e-CX.jpg,,,,,,,
214,18310,6691,42456,http://philamuseum.org/images/cad/mediaDecks/1929-180-10a-ov.jpg,,,,,,,
215,44267,37867,288431,ttp://philamuseum.org/images/cad/mediaDecks/2010-2-2-pma.jpg,,,,,,,
216,8350,23070,49495,ttp://philamuseum.org/images/cad/mediaDecks/1945-25-88-ov.jpg,,,,,,,
217,47241,26466,92647,http://philamuseum.org/images/cad/mediaDecks/1999-131-1new.jpg,,,,,,,
218,7659,48980,158195,http://philamuseum.org/images/cad/mediaDecks/Cat1126front-pma.jpg,,,,,,,
219,44050,42534,102096,http://philamuseum.org/images/cad/mediaDecks/Cat330-nyd.jpg,,,,,,,
220,5280,51390,178534,http://philamuseum.org/images/cad/mediaDecks/1929-170-1a-ov.jpg,,,,,,,
221,21345,63461,67661,http://philamuseum.org/images/cad/mediaDecks/1972-224-1-ov.jpg,,,,,,,
222,28409,51764,185194,http://philamuseum.org/images/cad/mediaDecks/1933-3-3-ov.jpg,,,,,,,
223,18854,54690,48434,http://philamuseum.org/images/cad/mediaDecks/1943-41-1.jpg,,,,,,,
225,32526,62404,39771,http://philamuseum.org/images/cad/mediaDecks/1911-98-pma.jpg,,,,,,,
227,36197,4670,61523,http://philamuseum.org/images/cad/mediaDecks/1966-189-1-pma.jpg,,,,,,,
228,28612,32807,49733,http://philamuseum.org/images/cad/mediaDecks/1945-65-22cover-pma.jpg,,,,,,,
229,34993,27451,35733,ttp://philamuseum.org/images/cad/mediaDecks/2002-82-1v1-imls2014.jpg,,,,,,,
